branch,month,month_num,sales,mean_sales,median_sales,std_sales,robust_zscore,zscore,mom_pct,anomaly_flag,anomaly_reason
Stories Jbeil,July,7,0.0,2263514.52,0.0,3595049.0,0.0,-0.63,,0,
Stories Jbeil,August,8,0.0,2263514.52,0.0,3595049.0,0.0,-0.63,,0,
Stories Jbeil,September,9,2402935.0,2263514.52,0.0,3595049.0,0.0,0.039,,0,
Stories Jbeil,November,11,7848030.44,2263514.52,0.0,3595049.0,0.0,1.553,-23.2,0,
Stories Jbeil,December,12,6692888.56,2263514.52,0.0,3595049.0,0.0,1.232,-14.72,0,
Stories Kaslik,January,1,0.0,235046.15,0.0,530289.07,0.0,-0.443,,0,
Stories Kaslik,February,2,0.0,235046.15,0.0,530289.07,0.0,-0.443,,0,
Stories Kaslik,March,3,0.0,235046.15,0.0,530289.07,0.0,-0.443,,0,
Stories Kaslik,April,4,0.0,235046.15,0.0,530289.07,0.0,-0.443,,0,
Stories Kaslik,May,5,0.0,235046.15,0.0,530289.07,0.0,-0.443,,0,
Stories Kaslik,June,6,0.0,235046.15,0.0,530289.07,0.0,-0.443,,0,
Stories Kaslik,July,7,0.0,235046.15,0.0,530289.07,0.0,-0.443,,0,
Stories Kaslik,August,8,0.0,235046.15,0.0,530289.07,0.0,-0.443,,0,
Stories Kaslik,September,9,0.0,235046.15,0.0,530289.07,0.0,-0.443,,0,
Stories Kaslik,October,10,0.0,235046.15,0.0,530289.07,0.0,-0.443,,0,
Stories Kaslik,November,11,1237539.34,235046.15,0.0,530289.07,0.0,1.89,,0,
Stories Raouche,January,1,0.0,379683.06,0.0,876919.57,0.0,-0.433,,0,
Stories Raouche,February,2,0.0,379683.06,0.0,876919.57,0.0,-0.433,,0,
Stories Raouche,March,3,0.0,379683.06,0.0,876919.57,0.0,-0.433,,0,
Stories Raouche,April,4,0.0,379683.06,0.0,876919.57,0.0,-0.433,,0,
Stories Raouche,May,5,0.0,379683.06,0.0,876919.57,0.0,-0.433,,0,
Stories Raouche,June,6,0.0,379683.06,0.0,876919.57,0.0,-0.433,,0,
Stories Raouche,July,7,0.0,379683.06,0.0,876919.57,0.0,-0.433,,0,
Stories Raouche,August,8,0.0,379683.06,0.0,876919.57,0.0,-0.433,,0,
Stories Raouche,September,9,0.0,379683.06,0.0,876919.57,0.0,-0.433,,0,
Stories Raouche,October,10,0.0,379683.06,0.0,876919.57,0.0,-0.433,,0,
Stories Raouche,November,11,1740370.88,379683.06,0.0,876919.57,0.0,1.552,,0,
Stories Sin El Fil,January,1,0.0,858210.46,0.0,1518137.21,0.0,-0.565,,0,
Stories Sin El Fil,February,2,0.0,858210.46,0.0,1518137.21,0.0,-0.565,,0,
Stories Sin El Fil,March,3,0.0,858210.46,0.0,1518137.21,0.0,-0.565,,0,
Stories Sin El Fil,April,4,0.0,858210.46,0.0,1518137.21,0.0,-0.565,,0,
Stories Sin El Fil,May,5,0.0,858210.46,0.0,1518137.21,0.0,-0.565,,0,
Stories Sin El Fil,June,6,0.0,858210.46,0.0,1518137.21,0.0,-0.565,,0,
Stories Sin El Fil,July,7,0.0,858210.46,0.0,1518137.21,0.0,-0.565,,0,
Stories Sin El Fil,August,8,0.0,858210.46,0.0,1518137.21,0.0,-0.565,,0,
Stories Sin El Fil,September,9,0.0,858210.46,0.0,1518137.21,0.0,-0.565,,0,
Stories Sin El Fil,October,10,2624897.9,858210.46,0.0,1518137.21,0.0,1.164,,0,
Stories Sin El Fil,December,12,3551489.5,858210.46,0.0,1518137.21,0.0,1.774,-13.84,0,
