branch,month,month_num,sales,mean_sales,median_sales,std_sales,robust_zscore,zscore,mom_pct,anomaly_flag,anomaly_reason
Stories Unknown,August,8,0.0,1158821.95,611845.0,1239579.77,-0.674,-0.935,-100.0,1,mom_spike
Stories Airport,July,7,2940003.01,3285689.8,1474215.92,3502265.86,0.671,-0.099,34780.32,1,mom_spike
Stories Centro Mall,April,4,3937166.67,3128476.49,3248535.44,966889.09,0.646,0.836,77.47,1,mom_spike
Stories Faqra,August,8,1535977.47,914782.79,795851.35,831464.08,0.627,0.747,218.64,1,mom_spike
Stories Ramlet El Bayda,July,7,7427539.62,4673724.16,5904160.08,2457615.2,0.625,1.121,413.75,1,mom_spike
Stories Bayada,March,3,5083386.67,4386961.54,4752864.27,1212894.31,0.487,0.574,48.68,1,mom_spike
Stories Lau,August,8,1683288.29,1336974.4,1288268.79,576108.35,0.478,0.601,60.28,1,mom_spike
Stories Antelias,July,7,2963696.71,2552435.74,2665503.59,687212.85,0.433,0.598,306.55,1,mom_spike
Stories Faqra,June,6,352083.33,914782.79,795851.35,831464.08,-0.376,-0.677,-68.27,1,mom_spike
Stories Unknown,June,6,923133.33,1158821.95,611845.0,1239579.77,0.343,-0.19,-54.4,1,mom_spike
Stories Unknown,July,7,300556.67,1158821.95,611845.0,1239579.77,-0.343,-0.692,-67.44,1,mom_spike
Stories Zalka,July,7,10265530.04,8997432.86,9829054.96,2339742.74,0.3,0.542,309.82,1,mom_spike
Stories Lau,July,7,1050186.19,1336974.4,1288268.79,576108.35,-0.288,-0.498,163.23,1,mom_spike
Stories Faqra,May,5,1109666.67,914782.79,795851.35,831464.08,0.266,0.234,-51.71,1,mom_spike
Stories Batroun,March,3,4890198.33,4506122.04,4631211.94,1400870.73,0.246,0.274,44.33,1,mom_spike
Stories Verdun,April,4,2105139.33,2094699.57,1926558.6,903225.59,0.19,0.012,46.57,1,mom_spike
Stories Lau,May,5,1206958.0,1336974.4,1288268.79,576108.35,-0.098,-0.226,-48.83,1,mom_spike
Stories Lau,October,10,1369579.58,1336974.4,1288268.79,576108.35,0.098,0.057,118.14,1,mom_spike
Stories Ramlet El Bayda,April,4,6011885.0,4673724.16,5904160.08,2457615.2,0.044,0.544,67.53,1,mom_spike
Stories Event Starco,August,8,3141.14,49776.03,0.0,161883.61,0.0,-0.288,241.83,1,mom_spike
Stories Event Starco,September,9,0.0,49776.03,0.0,161883.61,0.0,-0.307,-100.0,1,mom_spike
Stories Event Starco,December,12,586645.65,49776.03,0.0,161883.61,0.0,3.316,8779.68,1,std_z
Stories Jbeil,October,10,10218320.22,2263514.52,0.0,3595049.0,0.0,2.213,325.24,1,std_z
Stories Kaslik,December,12,1583014.42,235046.15,0.0,530289.07,0.0,2.542,27.92,1,std_z
Stories Raouche,December,12,2815825.84,379683.06,0.0,876919.57,0.0,2.778,61.79,1,std_z
Stories Sin El Fil,November,11,4122138.15,858210.46,0.0,1518137.21,0.0,2.15,57.04,1,std_z
Stories Ramlet El Bayda,January,1,0.0,4673724.16,5904160.08,2457615.2,-2.423,-1.902,,0,
Stories Airport,December,12,6604828.86,3285689.8,1474215.92,3502265.86,2.347,0.948,-6.04,0,
Stories Unknown,February,2,2527096.67,1158821.95,611845.0,1239579.77,2.111,1.104,15.39,0,
Stories Batroun,August,8,6751770.29,4506122.04,4631211.94,1400870.73,2.017,1.603,10.05,0,
Stories Bayada,February,2,3419106.67,4386961.54,4752864.27,1212894.31,-1.965,-0.798,-23.98,0,
Stories Unknown,March,3,2385366.67,1158821.95,611845.0,1239579.77,1.955,0.989,-5.61,0,
Stories Le Mall,December,12,5003540.55,3905876.38,4092973.89,1187671.13,1.872,0.924,25.59,0,
Stories Sour 2,August,8,5532578.53,1953484.13,1474169.96,2053575.92,1.857,1.743,22.83,0,
Stories Ramlet El Bayda,February,2,1570806.67,4673724.16,5904160.08,2457615.2,-1.778,-1.263,,0,
Stories Unknown,January,1,2190006.67,1158821.95,611845.0,1239579.77,1.74,0.832,,0,
Stories Ain El Mreisseh,April,4,13025923.33,9967738.5,10223378.57,2623565.47,1.701,1.166,32.24,0,
Stories Saida,January,1,7263332.33,4583857.48,4465001.29,1576019.51,1.656,1.7,,0,
Stories Verdun,August,8,3481408.42,2094699.57,1926558.6,903225.59,1.651,1.535,1.86,0,
Stories Ain El Mreisseh,January,1,12648546.67,9967738.5,10223378.57,2623565.47,1.472,1.022,,0,
Stories Bir Hasan,May,5,2125379.33,2863102.02,2989907.82,814063.25,-1.395,-0.906,-38.57,0,
Stories Sour 2,July,7,4504179.49,1953484.13,1474169.96,2053575.92,1.386,1.242,,0,
Stories Lau,April,4,2358631.33,1336974.4,1288268.79,576108.35,1.295,1.773,26.83,0,
Stories Bir Hasan,August,8,3783897.91,2863102.02,2989907.82,814063.25,1.281,1.131,-0.42,0,
Stories Aley,September,9,5397295.51,2541352.14,1869740.25,2793470.78,1.273,1.022,-36.99,0,
Stories Bayada,August,8,5613038.75,4386961.54,4752864.27,1212894.31,1.267,1.011,3.02,0,
Stories Batroun,February,2,3388117.33,4506122.04,4631211.94,1400870.73,-1.182,-0.798,-20.59,0,
Stories Bir Hasan,March,3,2266050.67,2863102.02,2989907.82,814063.25,-1.168,-0.733,-20.29,0,
Stories Sour 2,September,9,3970129.99,1953484.13,1474169.96,2053575.92,1.142,0.982,-28.24,0,
Stories Verdun,September,9,2989974.79,2094699.57,1926558.6,903225.59,1.129,0.991,-14.12,0,
Stories Saida,April,4,6361154.33,4583857.48,4465001.29,1576019.51,1.122,1.128,35.78,0,
Stories Antelias,April,4,3391741.33,2552435.74,2665503.59,687212.85,1.056,1.221,7.24,0,
Stories Khaldeh,April,4,8455732.0,7012967.67,7111228.85,2094655.92,1.036,0.689,31.69,0,
Stories Centro Mall,August,8,4307333.34,3128476.49,3248535.44,966889.09,0.993,1.219,2.52,0,
Stories Zalka,February,2,8417640.0,8997432.86,9829054.96,2339742.74,-0.97,-0.248,-19.44,0,
Stories Centro Mall,March,3,2218466.67,3128476.49,3248535.44,966889.09,-0.966,-0.941,-24.67,0,
Stories Aley,October,10,4503168.48,2541352.14,1869740.25,2793470.78,0.95,0.702,-16.57,0,
Stories Zalka,April,4,11182530.0,8997432.86,9829054.96,2339742.74,0.93,0.934,3.16,0,
Stories Faqra,January,1,1889910.0,914782.79,795851.35,831464.08,0.927,1.173,,0,
Stories Verdun,October,10,2764180.79,2094699.57,1926558.6,903225.59,0.889,0.741,-7.55,0,
Stories Faqra,February,2,1829960.0,914782.79,795851.35,831464.08,0.876,1.101,-3.17,0,
Stories Zalka,December,12,8566291.9,8997432.86,9829054.96,2339742.74,-0.868,-0.184,-3.5,0,
Stories Saida,August,8,5925560.98,4583857.48,4465001.29,1576019.51,0.864,0.851,-0.24,0,
Stories Aley,July,7,4219344.76,2541352.14,1869740.25,2793470.78,0.848,0.601,,0,
Stories Ain El Mreisseh,August,8,11610097.92,9967738.5,10223378.57,2623565.47,0.842,0.626,-2.35,0,
Stories Batroun,April,4,5516881.67,4506122.04,4631211.94,1400870.73,0.842,0.722,12.82,0,
Stories Sour 2,October,10,3313013.33,1953484.13,1474169.96,2053575.92,0.841,0.662,-16.55,0,
Stories Aley,November,11,4071091.3,2541352.14,1869740.25,2793470.78,0.794,0.548,-9.59,0,
Stories Sour 2,December,12,3173568.29,1953484.13,1474169.96,2053575.92,0.778,0.594,7.64,0,
Stories Khaldeh,February,2,6108429.33,7012967.67,7111228.85,2094655.92,-0.772,-0.432,-18.21,0,
Stories Antelias,February,2,2139010.67,2552435.74,2665503.59,687212.85,-0.765,-0.602,-18.23,0,
Stories Antelias,August,8,3182363.97,2552435.74,2665503.59,687212.85,0.751,0.917,7.38,0,
Stories Ramlet El Bayda,August,8,7668109.92,4673724.16,5904160.08,2457615.2,0.724,1.218,3.24,0,
Stories Centro Mall,December,12,3998663.08,3128476.49,3248535.44,966889.09,0.703,0.9,14.33,0,
Stories Bayada,October,10,5224336.34,4386961.54,4752864.27,1212894.31,0.695,0.69,6.24,0,
Stories Lau,February,2,1863050.33,1336974.4,1288268.79,576108.35,0.695,0.913,1.69,0,
Stories Zalka,March,3,10840106.67,8997432.86,9829054.96,2339742.74,0.695,0.788,28.78,0,
Stories Lau,March,3,1859610.67,1336974.4,1288268.79,576108.35,0.691,0.907,-0.18,0,
Stories Le Mall,April,4,4428620.0,3905876.38,4092973.89,1187671.13,0.69,0.44,4.92,0,
Stories Airport,January,1,0.0,3285689.8,1474215.92,3502265.86,-0.674,-0.938,,0,
Stories Airport,February,2,0.0,3285689.8,1474215.92,3502265.86,-0.674,-0.938,,0,
Stories Airport,March,3,0.0,3285689.8,1474215.92,3502265.86,-0.674,-0.938,,0,
Stories Airport,April,4,0.0,3285689.8,1474215.92,3502265.86,-0.674,-0.938,,0,
Stories Airport,May,5,0.0,3285689.8,1474215.92,3502265.86,-0.674,-0.938,,0,
Stories Aley,January,1,0.0,2541352.14,1869740.25,2793470.78,-0.674,-0.91,,0,
Stories Aley,February,2,0.0,2541352.14,1869740.25,2793470.78,-0.674,-0.91,,0,
Stories Aley,March,3,0.0,2541352.14,1869740.25,2793470.78,-0.674,-0.91,,0,
Stories Aley,April,4,0.0,2541352.14,1869740.25,2793470.78,-0.674,-0.91,,0,
Stories Aley,May,5,0.0,2541352.14,1869740.25,2793470.78,-0.674,-0.91,,0,
Stories Aley,June,6,0.0,2541352.14,1869740.25,2793470.78,-0.674,-0.91,,0,
Stories Aley,December,12,3739480.5,2541352.14,1869740.25,2793470.78,0.674,0.429,-8.15,0,
Stories Faqra,October,10,0.0,914782.79,795851.35,831464.08,-0.674,-1.1,,0,
Stories Faqra,November,11,0.0,914782.79,795851.35,831464.08,-0.674,-1.1,,0,
Stories Faqra,December,12,0.0,914782.79,795851.35,831464.08,-0.674,-1.1,,0,
Stories Mansourieh,January,1,0.0,2250047.65,96702.71,2669125.26,-0.674,-0.843,,0,
Stories Mansourieh,February,2,0.0,2250047.65,96702.71,2669125.26,-0.674,-0.843,,0,
Stories Mansourieh,March,3,0.0,2250047.65,96702.71,2669125.26,-0.674,-0.843,,0,
Stories Mansourieh,April,4,0.0,2250047.65,96702.71,2669125.26,-0.674,-0.843,,0,
Stories Mansourieh,May,5,0.0,2250047.65,96702.71,2669125.26,-0.674,-0.843,,0,
Stories Mansourieh,June,6,0.0,2250047.65,96702.71,2669125.26,-0.674,-0.843,,0,
Stories Mansourieh,July,7,193405.41,2250047.65,96702.71,2669125.26,0.674,-0.771,,0,
Stories Sour 2,January,1,0.0,1953484.13,1474169.96,2053575.92,-0.674,-0.951,,0,
Stories Sour 2,February,2,0.0,1953484.13,1474169.96,2053575.92,-0.674,-0.951,,0,
Stories Sour 2,March,3,0.0,1953484.13,1474169.96,2053575.92,-0.674,-0.951,,0,
Stories Sour 2,April,4,0.0,1953484.13,1474169.96,2053575.92,-0.674,-0.951,,0,
Stories Sour 2,May,5,0.0,1953484.13,1474169.96,2053575.92,-0.674,-0.951,,0,
Stories Sour 2,June,6,0.0,1953484.13,1474169.96,2053575.92,-0.674,-0.951,,0,
Stories Sour 2,November,11,2948339.91,1953484.13,1474169.96,2053575.92,0.674,0.484,-11.01,0,
Stories Unknown,September,9,0.0,1158821.95,611845.0,1239579.77,-0.674,-0.935,,0,
Stories Unknown,October,10,0.0,1158821.95,611845.0,1239579.77,-0.674,-0.935,,0,
Stories Unknown,November,11,0.0,1158821.95,611845.0,1239579.77,-0.674,-0.935,,0,
Stories Unknown,December,12,0.0,1158821.95,611845.0,1239579.77,-0.674,-0.935,,0,
Stories Airport,June,6,8428.83,3285689.8,1474215.92,3502265.86,-0.671,-0.936,,0,
Stories Le Mall,February,2,3772586.67,3905876.38,4092973.89,1187671.13,-0.659,-0.112,-2.79,0,
Stories Lau,January,1,1832006.33,1336974.4,1288268.79,576108.35,0.658,0.859,,0,
Stories Bayada,April,4,5196906.67,4386961.54,4752864.27,1212894.31,0.654,0.668,2.23,0,
Stories Zalka,November,11,8876666.37,8997432.86,9829054.96,2339742.74,-0.654,-0.052,-9.2,0,
Stories Zalka,August,8,10774439.35,8997432.86,9829054.96,2339742.74,0.65,0.759,4.96,0,
Stories Antelias,December,12,2234759.77,2552435.74,2665503.59,687212.85,-0.626,-0.462,-12.41,0,
Stories Bir Hasan,January,1,3355705.33,2863102.02,2989907.82,814063.25,0.59,0.605,,0,
Stories Le Mall,October,10,3807124.33,3905876.38,4092973.89,1187671.13,-0.588,-0.083,-9.39,0,
Stories Faqra,March,3,1479756.67,914782.79,795851.35,831464.08,0.58,0.679,-19.14,0,
Stories Khaldeh,September,9,7859844.17,7012967.67,7111228.85,2094655.92,0.577,0.404,-26.28,0,
Stories Verdun,February,2,1387090.33,2094699.57,1926558.6,903225.59,-0.573,-0.783,-20.65,0,
Stories Verdun,November,11,2465933.34,2094699.57,1926558.6,903225.59,0.573,0.411,-10.79,0,
Stories Khaldeh,March,3,6420841.0,7012967.67,7111228.85,2094655.92,-0.532,-0.283,5.11,0,
Stories Verdun,March,3,1436257.67,2094699.57,1926558.6,903225.59,-0.52,-0.729,3.54,0,
Stories Bayada,December,12,4403458.27,4386961.54,4752864.27,1212894.31,-0.515,0.014,-4.03,0,
Stories Ain El Mreisseh,November,11,9387782.61,9967738.5,10223378.57,2623565.47,-0.507,-0.221,-10.74,0,
Stories Batroun,December,12,5163712.03,4506122.04,4631211.94,1400870.73,0.507,0.469,20.85,0,
Stories Saida,October,10,3639435.44,4583857.48,4465001.29,1576019.51,-0.489,-0.599,-14.27,0,
Stories Ain El Mreisseh,September,9,11021123.75,9967738.5,10223378.57,2623565.47,0.484,0.402,-5.07,0,
Stories Saida,November,11,3665840.85,4583857.48,4465001.29,1576019.51,-0.473,-0.582,0.73,0,
Stories Le Mall,January,1,3881015.0,3905876.38,4092973.89,1187671.13,-0.436,-0.021,,0,
Stories Bir Hasan,September,9,3255935.75,2863102.02,2989907.82,814063.25,0.429,0.483,-13.95,0,
Stories Zalka,January,1,10449006.67,8997432.86,9829054.96,2339742.74,0.426,0.62,,0,
Stories Bir Hasan,December,12,2743087.7,2863102.02,2989907.82,814063.25,-0.398,-0.147,-3.79,0,
Stories Batroun,September,9,5041150.76,4506122.04,4631211.94,1400870.73,0.39,0.382,-25.34,0,
Stories Saida,February,2,5121351.33,4583857.48,4465001.29,1576019.51,0.388,0.341,-29.49,0,
Stories Saida,December,12,3825643.86,4583857.48,4465001.29,1576019.51,-0.378,-0.481,4.36,0,
Stories Bayada,January,1,4497376.67,4386961.54,4752864.27,1212894.31,-0.376,0.091,,0,
Stories Antelias,September,9,2909965.47,2552435.74,2665503.59,687212.85,0.355,0.52,-8.56,0,
Stories Ain El Mreisseh,December,12,9640996.43,9967738.5,10223378.57,2623565.47,-0.354,-0.125,2.7,0,
Stories Batroun,January,1,4266517.33,4506122.04,4631211.94,1400870.73,-0.347,-0.171,,0,
Stories Batroun,November,11,4272667.88,4506122.04,4631211.94,1400870.73,-0.341,-0.167,-2.28,0,
Stories Centro Mall,February,2,2944806.67,3128476.49,3248535.44,966889.09,-0.285,-0.19,-9.79,0,
Stories Khaldeh,November,11,6744352.33,7012967.67,7111228.85,2094655.92,-0.283,-0.128,-8.22,0,
