year,branch,month,month_num,sales_2025,seasonality_index_2025,trend_component,forecast_raw,jan_actual_runrate,jan_anchor_ratio,forecast_calibrated,forecast_final
2026,Stories Unknown,June,6,923133.33,0.7966,646193.33,646193.33,0.0,1.0,646193.33,646193.33
2026,Stories Unknown,July,7,300556.67,0.2594,210389.67,210389.67,0.0,1.0,210389.67,210389.67
2026,Stories Unknown,August,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026,Stories Unknown,September,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026,Stories Unknown,October,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026,Stories Unknown,November,11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026,Stories Unknown,December,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2026,Stories Verdun,January,1,1747977.87,0.8345,2272371.23,2272371.23,1507424.3,0.7,1590659.86,1590659.86
2026,Stories Verdun,February,2,1387090.33,0.6622,1803217.43,1803217.43,1507424.3,0.7,1262252.2,1262252.2
2026,Stories Verdun,March,3,1436257.67,0.6857,1867134.97,1867134.97,1507424.3,0.7,1306994.48,1306994.48
2026,Stories Verdun,April,4,2105139.33,1.005,2736681.13,2736681.13,1507424.3,0.7,1915676.79,1915676.79
2026,Stories Verdun,May,5,1195236.33,0.5706,1553807.23,1553807.23,1507424.3,0.7,1087665.06,1087665.06
2026,Stories Verdun,June,6,449746.67,0.2147,584670.67,584670.67,1507424.3,0.7,409269.47,409269.47
2026,Stories Verdun,July,7,3417793.41,1.6316,4443131.43,4443131.43,1507424.3,0.7,3110192.0,3110192.0
2026,Stories Verdun,August,8,3481408.42,1.662,4525830.95,4525830.95,1507424.3,0.7,3168081.66,3168081.66
2026,Stories Verdun,September,9,2989974.79,1.4274,3886967.23,3886967.23,1507424.3,0.7,2720877.06,2720877.06
2026,Stories Verdun,October,10,2764180.79,1.3196,3593435.03,3593435.03,1507424.3,0.7,2515404.52,2515404.52
2026,Stories Verdun,November,11,2465933.34,1.1772,3205713.34,3205713.34,1507424.3,0.7,2243999.34,2243999.34
2026,Stories Verdun,December,12,1695655.86,0.8095,2204352.62,2204352.62,1507424.3,0.7,1543046.83,1543046.83
2026,Stories Zalka,January,1,10449006.67,1.1613,9573932.43,9573932.43,8105800.12,0.8467,8105800.12,8105800.12
2026,Stories Zalka,February,2,8417640.0,0.9356,7712686.87,7712686.87,8105800.12,0.8467,6529970.69,6529970.69
2026,Stories Zalka,March,3,10840106.67,1.2048,9932278.93,9932278.93,8105800.12,0.8467,8409195.32,8409195.32
2026,Stories Zalka,April,4,11182530.0,1.2429,10246025.29,10246025.29,8105800.12,0.8467,8674829.66,8674829.66
2026,Stories Zalka,May,5,6433973.33,0.7151,5895146.58,5895146.58,8105800.12,0.8467,4991144.46,4991144.46
2026,Stories Zalka,June,6,2504900.0,0.2784,2295121.83,2295121.83,8105800.12,0.8467,1943172.15,1943172.15
2026,Stories Zalka,July,7,10265530.04,1.1409,9405821.44,9405821.44,8105800.12,0.8467,7963468.42,7963468.42
2026,Stories Zalka,August,8,10774439.35,1.1975,9872111.05,9872111.05,8105800.12,0.8467,8358254.0,8358254.0
2026,Stories Zalka,September,9,9882169.98,1.0983,9054566.68,9054566.68,8105800.12,0.8467,7666077.47,7666077.47
2026,Stories Zalka,October,10,9775939.95,1.0865,8957233.11,8957233.11,8105800.12,0.8467,7583669.69,7583669.69
2026,Stories Zalka,November,11,8876666.37,0.9866,8133271.1,8133271.1,8105800.12,0.8467,6886059.66,6886059.66
2026,Stories Zalka,December,12,8566291.9,0.9521,7848889.6,7848889.6,8105800.12,0.8467,6645287.16,6645287.16
