branch,month,month_num,actual_sales,trend_walkforward_pred,naive_last_month_pred,moving_avg_3_pred
Stories Event Starco,December,12,586645.65,3164.29,6606.61,2202.2
Stories Faqra,April,4,2298003.33,1323055.56,1479756.67,1733208.89
Stories Faqra,May,5,1109666.67,2092926.67,2298003.33,1869240.0
Stories Faqra,June,6,352083.33,1393726.33,1109666.67,1629142.22
Stories Faqra,July,7,482036.04,590053.33,352083.33,1253251.11
Stories Faqra,August,8,1535977.47,270278.69,482036.04,647928.68
Stories Faqra,September,9,0.0,633504.32,1535977.47,790032.28
Stories Faqra,October,10,0.0,187797.99,0.0,672671.17
Stories Faqra,November,11,0.0,0.0,0.0,511992.49
Stories Faqra,December,12,0.0,0.0,0.0,0.0
Stories Jbeil,April,4,0.0,0.0,0.0,0.0
Stories Jbeil,May,5,0.0,0.0,0.0,0.0
Stories Jbeil,June,6,0.0,0.0,0.0,0.0
Stories Jbeil,July,7,0.0,0.0,0.0,0.0
Stories Jbeil,August,8,0.0,0.0,0.0,0.0
Stories Jbeil,September,9,2402935.0,0.0,0.0,0.0
Stories Jbeil,October,10,10218320.22,1067971.11,2402935.0,800978.33
Stories Jbeil,November,11,7848030.44,4888306.42,10218320.22,4207085.07
Stories Jbeil,December,12,6692888.56,6623875.32,7848030.44,6823095.22
Stories Kaslik,April,4,0.0,0.0,0.0,0.0
Stories Kaslik,May,5,0.0,0.0,0.0,0.0
Stories Kaslik,June,6,0.0,0.0,0.0,0.0
Stories Kaslik,July,7,0.0,0.0,0.0,0.0
Stories Kaslik,August,8,0.0,0.0,0.0,0.0
Stories Kaslik,September,9,0.0,0.0,0.0,0.0
Stories Kaslik,October,10,0.0,0.0,0.0,0.0
Stories Kaslik,November,11,1237539.34,0.0,0.0,0.0
Stories Kaslik,December,12,1583014.42,450014.31,1237539.34,412513.11
Stories Khaldeh,April,4,8455732.0,5618494.22,6420841.0,6665808.55
Stories Khaldeh,May,5,4487117.67,7932074.83,8455732.0,6995000.78
Stories Khaldeh,June,6,2262395.0,5503623.27,4487117.67,6454563.56
Stories Khaldeh,July,7,9464291.92,2981327.16,2262395.0,5068414.89
Stories Khaldeh,August,8,10661995.53,5861368.58,9464291.92,5404601.53
Stories Khaldeh,September,9,7859844.17,8131775.54,10661995.53,7462894.15
Stories Khaldeh,October,10,7348415.03,8281062.89,7859844.17,9328710.54
Stories Khaldeh,November,11,6744352.33,8160020.73,7348415.03,8623418.24
Stories Khaldeh,December,12,6874042.67,7846377.5,6744352.33,7317537.18
